Account ID,Account Type,Branch,Customer Type,Account Balance,KYC Status,Last Transaction Date,Email Contact Attempt,SMS Contact Attempt,Phone Call Attempt,Account Status
ACC0067,Investment,Fujairah,Corporate,98788.23,Expired,8/21/2021,Yes,Yes,No,Dormant
ACC0068,Investment,Abu Dhabi,Corporate,11099.24,Expired,3/24/2021,Yes,No,Yes,Dormant
ACC0069,Safe Deposit,Sharjah,VIP,108124.73,Valid,7/18/2021,No,No,No,Dormant
ACC0070,Fixed Deposit,Dubai,Corporate,120062.18,Expired,7/12/2021,Yes,No,No,Dormant
ACC0071,Investment,Dubai,Youth,312533.01,Valid,1/31/2022,No,No,No,Dormant
ACC0072,Fixed Deposit,Abu Dhabi,VIP,154653.62,Valid,12/10/2021,No,No,Yes,Dormant
ACC0073,Savings/Call/Current,Abu Dhabi,Youth,148832.37,Expired,1/24/2022,No,Yes,No,Dormant
ACC0074,Safe Deposit,Fujairah,Corporate,363515.22,Valid,1/27/2022,No,No,Yes,Dormant
ACC0075,Safe Deposit,Fujairah,Youth,247133.58,Expired,11/5/2021,Yes,Yes,No,Dormant
ACC0076,Investment,Al Ain,Corporate,23104.33,Expired,7/20/2021,No,No,No,Dormant
ACC0077,Fixed Deposit,Dubai,Retail,10812.88,Expired,8/8/2021,Yes,No,No,Dormant
ACC0078,Safe Deposit,Abu Dhabi,Retail,104884.17,Valid,3/31/2022,Yes,Yes,Yes,Dormant
ACC0079,Safe Deposit,Fujairah,Retail,155371.48,Valid,9/12/2021,No,No,No,Dormant
ACC0080,Savings/Call/Current,Al Ain,Youth,188632.08,Expired,5/4/2021,Yes,No,Yes,Dormant
ACC0081,Savings/Call/Current,Sharjah,Youth,36767.22,Valid,8/22/2021,Yes,No,No,Dormant
ACC0082,Fixed Deposit,Abu Dhabi,Corporate,357868.66,Valid,1/14/2022,Yes,Yes,Yes,Dormant
ACC0083,Fixed Deposit,Al Ain,Youth,91048.58,Expired,7/8/2021,Yes,No,No,Dormant
ACC0084,Safe Deposit,Fujairah,Retail,164437.96,Valid,8/27/2021,No,Yes,No,Dormant
ACC0085,Safe Deposit,Dubai,Youth,191940.01,Valid,5/24/2021,Yes,Yes,Yes,Dormant
ACC0086,Investment,Fujairah,Corporate,315630.41,Valid,11/8/2021,Yes,Yes,No,Dormant
ACC0087,Fixed Deposit,Sharjah,Retail,147359.56,Expired,6/10/2021,No,No,Yes,Dormant
ACC0088,Fixed Deposit,Fujairah,VIP,143007.41,Expired,4/18/2021,Yes,No,No,Dormant
ACC0089,Fixed Deposit,Al Ain,VIP,286312.92,Expired,5/19/2021,Yes,No,No,Dormant
ACC0090,Investment,Al Ain,VIP,279799.2,Valid,4/1/2022,No,Yes,No,Dormant
ACC0091,Fixed Deposit,Fujairah,Youth,192543.16,Expired,8/13/2021,No,Yes,No,Dormant
ACC0092,Safe Deposit,Al Ain,Retail,316248.04,Expired,7/21/2021,Yes,No,No,Dormant
ACC0093,Savings/Call/Current,Al Ain,Corporate,19298.44,Expired,3/22/2021,Yes,No,No,Dormant
ACC0094,Safe Deposit,Sharjah,Corporate,17512.34,Expired,10/24/2021,No,No,Yes,Dormant
ACC0095,Investment,Dubai,Corporate,170396.46,Valid,2/8/2022,No,No,Yes,Dormant
ACC0096,Investment,Sharjah,VIP,164732.4,Expired,1/21/2022,No,Yes,No,Dormant
ACC0097,Fixed Deposit,Abu Dhabi,Youth,425243.23,Expired,6/29/2021,Yes,Yes,No,Dormant
ACC0098,Investment,Dubai,Corporate,205482.63,Expired,1/25/2022,No,No,Yes,Dormant
ACC0099,Savings/Call/Current,Sharjah,Corporate,468557.31,Expired,8/25/2021,Yes,No,No,Dormant
